CDS;ERR2036629;ERR2036630;ERR2036631;ERR2036632;ERR2036633
CMHJGECF_00595;34;34;561;669;38
CMHJGECF_00596;13;5;53;49;6
CMHJGECF_00597;3;3;30;39;3
CMHJGECF_00598;6;4;51;68;11
CMHJGECF_00599;105;94;897;890;90
CMHJGECF_00600;76;78;548;505;86
CMHJGECF_00601;1473;1100;13505;11446;1251
CMHJGECF_00602;130;62;1449;1726;89
CMHJGECF_00603;35;20;541;738;30
CMHJGECF_00604;23;19;222;359;23
CMHJGECF_00605;109;57;1240;967;67
CMHJGECF_00606;318;231;2522;2435;325
CMHJGECF_00607;10;3;24;63;5
CMHJGECF_00608;26;19;324;348;31
CMHJGECF_00609;152;70;716;477;71
CMHJGECF_00610;30;21;199;128;30
CMHJGECF_00611;14;5;66;60;8
CMHJGECF_00612;1711;1339;9976;12959;1579
CMHJGECF_00613;379;206;2091;2176;299
CMHJGECF_00614;62;41;524;649;44
CMHJGECF_00615;39;13;329;254;24
CMHJGECF_00616;40;19;272;229;18
CMHJGECF_00617;19;16;105;130;7
CMHJGECF_00618;804;662;7007;7398;829
CMHJGECF_00619;0;0;106;139;1
CMHJGECF_00620;19;12;1439;1345;18
CMHJGECF_00621;12;13;905;1021;12
CMHJGECF_00622;42;30;2588;2653;42
CMHJGECF_00623;19;12;423;427;5
CMHJGECF_00624;99;61;989;1316;89
